,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
0,PIH,"1347 Property Insurance Holdings, Inc.",7.35,$43.99M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
1,TURN,180 Degree Capital Corp.,2.03,$63.18M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn,
2,FLWS,"1-800 FLOWERS.COM, Inc.",9.7,$626.86M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
3,FCCY,1st Constitution Bancorp (NJ),18.15,$146.53M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
4,SRCE,1st Source Corporation,50.19,$1.3B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
5,VNET,"21Vianet Group, Inc.",7.12,$801M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,
6,TWOU,"2U, Inc.",67.29,$3.51B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
7,JOBS,"51job, Inc.",60.66,$3.75B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
8,CAFD,8point3 Energy Partners LP,15.245,$1.21B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,
9,EGHT,8x8 Inc,14.025,$1.29B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
10,AVHI,"A V Homes, Inc.",18.55,$416.55M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,
11,SHLM,"A. Schulman, Inc.",37.8,$1.12B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
12,AAON,"AAON, Inc.",35.2,$1.85B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
13,ABAX,"ABAXIS, Inc.",49.87,$1.13B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
14,ABEO,Abeona Therapeutics Inc.,16.65,$778.81M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,
15,ABEOW,Abeona Therapeutics Inc.,11.66,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,
16,ABIL,Ability Inc.,0.5399,$13.91M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,
17,ABMD,"ABIOMED, Inc.",198.42,$8.77B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
18,ABLX,Ablynx NV,22.96,$1.72B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx,
19,AXAS,Abraxas Petroleum Corporation,2.02,$335.1M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,
20,ACIU,AC Immune SA,11.33,$644.93M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,
21,ACIA,"Acacia Communications, Inc.",38.94,$1.53B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,
22,ACTG,Acacia Research Corporation,4.15,$210.01M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
23,ACHC,"Acadia Healthcare Company, Inc.",31.02,$2.73B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
24,ACAD,ACADIA Pharmaceuticals Inc.,27.59,$3.43B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
25,ACST,"Acasti Pharma, Inc.",1.7,$25.05M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
26,AXDX,"Accelerate Diagnostics, Inc.",26.6,$1.47B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
27,XLRN,Acceleron Pharma Inc.,36.65,$1.66B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
28,ANCX,Access National Corporation,28.37,$580.24M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
29,ARAY,Accuray Incorporated,5.2,$436.38M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,
30,ACRX,"AcelRx Pharmaceuticals, Inc.",2.15,$108.23M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
31,ACER,Acer Therapeutics Inc.,17.585,$113.44M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer,
32,ACERW,Acer Therapeutics Inc.,0.0192,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw,
33,ACET,Aceto Corporation,10.73,$328.78M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,
34,AKAO,"Achaogen, Inc.",11.875,$503.42M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
35,ACHV,"Achieve Life Sciences, Inc. ",1.58,$18.88M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv,
36,ACHN,"Achillion Pharmaceuticals, Inc.",3.26,$449.42M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
37,ACIW,"ACI Worldwide, Inc.",23.42,$2.78B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
38,ACRS,"Aclaris Therapeutics, Inc.",23.31,$718.76M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,
39,ACMR,"ACM Research, Inc.",6.9,$104.27M,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr,
40,ACNB,ACNB Corporation,28.5,$200.06M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
41,ACOR,"Acorda Therapeutics, Inc.",20,$934.94M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
42,SQZZ,Active Alts Contrarian ETF,24.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz,
43,ATVI,"Activision Blizzard, Inc",65.74,$49.71B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,
44,ACTA,Actua Corporation,15.55,$508.83M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,
45,ACXM,Acxiom Corporation,26.78,$2.12B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
46,ADMS,"Adamas Pharmaceuticals, Inc.",33.08,$753.53M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
47,ADMP,Adamis Pharmaceuticals Corporation,3.95,$131.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,
48,ADAP,Adaptimmune Therapeutics plc,8.14,$762.61M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,
49,ADUS,Addus HomeCare Corporation,31.8,$369.89M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,
50,AEY,"ADDvantage Technologies Group, Inc.",1.47,$14.98M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,
51,IOTS,Adesto Technologies Corporation,8.4,$177.57M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,
52,ADMA,ADMA Biologics Inc,3.11,$140.93M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,
53,ADBE,Adobe Systems Incorporated,185,$91.19B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
54,ADOM,"ADOMANI, Inc.",3.8602,$262.77M,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom,
55,ADTN,"ADTRAN, Inc.",22.3,$1.07B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,
56,ADRO,"Aduro Biotech, Inc.",8.8,$684.03M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,
57,AAAP,Advanced Accelerator Applications S.A.,81.3,$3.59B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,
58,ADES,"Advanced Emissions Solutions, Inc.",9.64,$203.3M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,
59,AEIS,"Advanced Energy Industries, Inc.",83.3,$3.3B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,
60,AMD,"Advanced Micro Devices, Inc.",11.55,$11.14B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,
61,ADXS,"Advaxis, Inc.",3.06,$125.66M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,
62,ADXSW,"Advaxis, Inc.",0.9001,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,
63,ADVM,"Adverum Biotechnologies, Inc.",3.1,$139.63M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm,
64,AEGN,Aegion Corp,26.82,$872.37M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,
65,AGLE,"Aeglea BioTherapeutics, Inc.",4.21,$70.07M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle,
66,AEHR,Aehr Test Systems,2.78,$59.89M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,
